3000 20000
-2608 -1493 2939
-48 1779 225
1475 -1405 -1404
-1381 680 685
2628 -2546 -2965
-2549 -2184 1016
-618 891 -2253
2989 1073 2833
-406 2724 2002
2306 628 2677
2715 -893 -2970
-1973 2601 -2020
16 2950 2331
363 1458 -314
-1523 -890 1117
-183 2065 1149
-1080 -354 760
2628 -2476 -1892
-2299 1695 -2209
-294 -30 -1016
2662 842 1229
2624 -1676 1953
58 2841 -1007
93 1697 -331
-391 -1949 -1037
-2564 1484 2845
1080 1138 -2478
-2589 1149 1631
-1390 602 2358
969 -844 1003
1566 -2459 1044
-160 -1988 -391
700 -665 1579
1735 -2217 1385
632 2436 2824
432 884 -308
-2319 -2746 -1800
-1922 2589 -2816
176 2569 2420
649 1652 1077
2770 -104 -383
2743 1971 -763
-225 -2069 -2236
-2532 -703 -1362
978 -2159 989
-613 -2881 -2398
-2286 -738 -856
696 1880 2538
-256 1110 1682
429 -1052 2525
-2848 -897 -2381
213 1679 1917
1233 423 1147
-2722 -878 217
275 -977 23
-1223 -1441 -2657
-619 -2996 2661
2550 -2472 1668
-2135 1462 28
-1855 -1079 -739
-2287 1811 147
2011 2773 2041
1642 -172 208
-1568 -1606 1967
-2161 171 224
1959 212 188
757 2969 -2903
-1654 1824 -1640
2532 2563 -2301
-2276 1381 2847
2661 -2431 1161
-2434 -248 -295
-2498 -2567 -1794
304 -1904 2890
2104 -1633 216
-2957 -141 -227
-149 -2451 442
-1473 403 -93
-639 -1252 -2425
1260 -463 -1359
2322 -365 -2857
-341 2786 -408
-802 -1605 -2034
-2985 2011 1175
-815 -2189 1089
2833 -2676 506
77 -455 -421
-1787 742 1030
-1010 2787 -2882
2631 -139 1901
-441 337 2778
2533 -1891 2517
1180 -2632 104
-2909 -1939 -2453
-102 654 -1733
330 370 2433
2186 1631 -716
-1390 131 -2017
-2936 739 -623
1220 1651 -480
-1709 235 -2462
1545 1353 1525
39 357 903
-1087 552 -2473
1001 733 1571
-556 -1334 1206
-1425 1106 -404
-1422 -2951 229
2737 -1991 990
1535 2051 -2633
-998 1706 2866
1339 238 -1110
-1407 -535 1392
613 -2761 -1787
-138 2892 750
1674 949 594
-2211 -2300 -2991
-1602 726 -1877
2039 642 -254
511 -124 -2312
-315 2383 2988
2312 -1664 -289
2838 529 2470
475 -2969 204
-15 892 933
-1266 2260 -2529
2582 -2241 378
-1394 1725 1166
2620 -1767 1373
1759 920 -1440
26 2217 211
-1123 -846 -2904
1707 -861 -1138
-2359 -1328 396
-448 995 -2861
518 1849 -1835
457 2885 1589
-1179 1995 -1415
1242 2296 -1318
-1234 -1146 -2846
-39 -1385 -2475
159 2411 -1743
-548 -2598 -267
-2229 1002 2040
-1399 833 1969
1751 2062 -437
333 -255 -2338
2075 1726 2892
2120 -1459 60
-2959 2988 -2169
-333 -2727 -1242
2565 -1062 741
-2176 -2479 2759
-2272 1917 366
2737 -935 2844
2447 -1888 2384
2823 -46 -2684
2393 2479 1057
-648 546 2744
2478 -1730 -1757
213 2652 158
-1163 1328 -1998
2830 -2838 -2146
-2215 -2922 1401
757 2843 -2404
344 -2641 1467
-824 1281 -2072
-636 -572 -2383
1572 -1995 -364
-1384 2335 -1957
2191 2914 -1446
-852 -1926 -2443
757 1077 -2418
-977 -46 -1299
475 -1756 -2448
2836 2659 1706
2055 -101 -1535
-499 -509 -2490
1984 -2099 -2051
-2928 1149 -1162
-2372 2036 2269
-1512 965 -1957
-642 1602 1582
613 1062 -425
603 1878 1251
2209 362 150
-2090 1125 -1259
-1186 -1640 1576
-2710 -432 -1854
737 -26 554
519 1162 -2484
-1532 2607 310
-1963 -1396 -1025
1892 759 650
-879 -1738 437
2988 1425 1085
-1215 2430 2622
-2195 -1242 -1731
-657 2503 -2611
-411 -1064 -1515
-2977 1478 2494
-463 -1950 -998
-1795 -2196 -2986
216 2076 -2866
1922 -2371 -2292
-466 1183 1022
-1081 -1770 1105
-713 -1668 2229
-544 1570 2692
2932 -364 1223
-1573 231 1625
-2262 2958 -2142
-2797 -639 -2583
-2803 2703 -1453
2439 188 -2241
-781 -686 -2283
1564 1759 -1528
1653 -2999 -2068
-1210 -691 -2550
111 -1848 1011
655 -763 -2080
1099 -767 22
981 -670 -1259
-1314 1520 2441
681 1323 1188
-2533 -1666 2592
-89 1454 -2599
-266 -2790 -896
1223 -1612 -1968
-2574 -603 -1131
2383 2015 -1710
2014 2962 2826
2715 2117 594
-2795 -674 1771
325 -1826 -1158
796 1443 1110
2081 1345 804
1307 -2251 82
2315 -98 -2690
1826 -136 -2796
1698 2529 1853
395 303 -1521
-3 91 -2695
-1321 738 2532
501 -2472 -524
-927 -2298 2412
2940 317 1347
642 315 -2640
-1109 2669 -2257
-191 -1037 -2111
475 1968 505
1984 2796 -917
-2647 1752 251
-1757 -2332 -115
-2116 -1925 -1727
-1547 -2450 195
-715 1685 2576
-1290 2802 2777
416 -2410 644
-916 2128 -727
-1156 1578 817
-1770 115 278
-1408 1861 -1508
-590 -866 -1134
-1668 -1027 -1176
-1760 819 2558
-1965 -315 1265
321 2225 2081
1898 1937 -648
1638 -2229 200
2477 -2224 -352
1972 1068 -2111
-1612 -1234 -1575
2695 79 -939
2080 -1898 -812
1359 1624 -1754
2317 93 1547
1171 1065 1524
375 2352 -2599
-1085 1495 -798
1359 2320 2854
2725 2548 2586
-1274 -1974 -477
-1315 319 186
-1198 -2100 2844
647 257 -1521
1123 573 -1802
2022 -1754 1200
-581 -2895 1267
347 -2119 -15
1348 823 -2354
1956 1990 -1151
-286 2909 -1276
2725 1979 -1045
-715 -876 -1945
2029 2445 264
-2707 -2295 2781
-1850 -98 1609
1689 848 1145
1929 -2289 922
-292 2488 1142
2580 -1987 -1492
1001 1052 -830
2180 -2998 -1722
1855 -2602 -2678
-2989 644 2087
-864 350 2419
-2470 -1039 396
-2241 2896 -1934
-1748 -2167 1486
2652 324 -2602
-2997 -1732 -8
-1164 251 -2882
-2707 1100 541
-1015 -1087 1360
-2926 -2585 2595
-329 2106 329
590 -2856 -2399
-1939 -2113 -131
2737 -205 -922
-2497 -2444 694
560 1446 2204
331 -1317 2760
-745 1352 2447
-2258 -527 2
-671 2924 2912
2200 4 1485
2200 216 -1922
-1099 -2843 1821
756 957 -1479
1903 -1503 2849
-1176 1067 1327
2300 -1618 -2363
1500 1997 2583
2130 488 -583
-516 -2711 1769
2984 2957 -1049
1952 -2385 -2089
738 2872 -812
1906 1347 2117
-1816 154 582
-134 2824 -164
2526 1459 2665
1262 919 832
1823 1679 -1316
2183 -2215 -655
1456 2114 -2404
685 -1256 379
-527 -837 2755
-1963 891 -570
20 655 486
-299 -1516 -240
-1819 2692 730
-1632 -1963 289
2052 -472 2687
1034 -805 -540
-2886 755 -429
1508 2609 -2350
2736 1034 -2075
1545 148 230
-1573 -2567 -436
-2064 2933 -1984
-1736 1041 -1149
-793 -1391 -2925
-1268 -2270 1965
658 903 -2152
-2585 -1359 -1404
-772 1763 947
-2366 2035 1372
1565 -578 -2311
-848 -2227 -958
-2137 2757 370
1530 785 511
-834 -1842 215
-2693 -608 1547
1747 -1105 2337
-1371 378 -2483
1487 1656 20
2629 1334 1489
2579 718 -1184
257 1571 177
795 -662 2668
2176 1067 2517
2361 941 1418
-932 -1211 324
543 1547 -765
-1265 896 -2241
1953 -1384 -2793
2838 2234 545
-2507 -632 1214
-1100 -2184 -2723
742 381 281
12 903 -2138
-2002 2032 -2374
1164 -2581 780
220 -728 -1410
-770 -876 -1127
2345 -1935 -2735
153 1687 1680
-2686 2646 1304
1797 -2667 -2863
933 -783 1915
-307 -869 -2669
2778 -1963 -742
-2454 410 1964
-373 2768 1534
-2127 1519 456
-473 -1245 529
-2596 2756 1419
-1025 -70 1954
539 -2092 -2734
2410 2359 2210
547 2950 396
2767 850 -1657
-2439 2741 2809
-2794 -2732 2832
2046 617 -2642
1795 -1675 -2057
1550 99 -1895
2190 630 2707
-971 1620 1249
1728 948 628
2876 -424 -2748
1314 2007 2248
-1413 790 153
283 1323 -102
2366 720 1677
210 2853 -1215
230 -1477 2377
38 819 677
2715 -2248 945
1014 -2133 254
-1787 -2893 1935
2559 -626 2027
1356 1502 -260
-2808 829 -1537
392 -1853 -119
1258 -2748 -1221
111 -2550 -1785
-2845 -2086 -964
818 -1909 -2287
-507 2383 1484
-2050 1695 -2446
1874 1146 -753
-1765 -2785 -2417
2541 1220 1215
262 554 1734
2018 -2320 -2658
234 -510 702
-1626 -1485 2527
-1050 -2665 -2744
-457 1315 1694
14 -344 1215
1498 -616 -488
639 1703 608
2914 1003 551
-2403 449 2877
1195 -1416 2804
51 -1098 -1087
-1002 604 1490
-1204 -2512 -1365
2948 -1924 -325
2586 -2748 -451
149 451 459
-417 126 952
1505 468 -533
-2428 2959 -1475
-2661 2457 -2319
-88 1413 -149
-81 1002 2546
-2408 -126 1613
-728 -2609 2296
2205 -843 486
-1713 284 563
2303 2222 -2265
-1345 2147 2330
911 -2365 2645
581 -279 645
-2478 1586 -1886
-879 1845 -2181
2864 -1123 -610
514 1093 -318
1022 659 -1903
-2341 -1007 2350
-2641 2367 1035
-2253 -2594 -2077
-1629 -160 -703
-2066 -2621 -1324
577 -186 261
163 1099 -1807
-648 427 2827
607 -1528 -791
1230 -2668 -1069
-2008 -2307 -1628
-1868 1735 2588
-434 -320 -2936
674 -1112 846
2054 -2031 708
-58 450 -2981
-1009 -2703 1556
-2073 1822 -2081
-552 2278 -389
240 809 1505
1926 1481 -1417
-2774 1855 -1658
-1968 1330 -2881
-2185 602 -2895
-1485 890 -1676
-148 273 -1043
2184 528 -2263
-2208 1085 2229
-894 -176 -1304
2577 -942 -743
1194 984 -1534
1953 652 -596
1354 -2711 2879
830 390 2265
2682 -2838 -2853
2526 -136 2665
-2171 1368 2609
1074 -2131 2492
-1869 -1938 791
-2904 -1133 664
364 1397 -2612
-2454 -2954 -2719
2166 1305 -2880
62 733 -250
-2816 -2750 -798
2864 -981 -144
-1468 2281 -1197
-2690 2056 -1212
-567 -1698 -2539
938 2565 -2680
1280 282 -2839
-1903 -2325 -2734
1291 1100 -2508
-2559 480 2180
-194 -722 -1791
-47 840 -1512
-1514 449 -1511
-2785 -1127 1251
-921 613 -632
2765 1084 -1443
-899 1477 2338
1139 -716 -1011
-371 -2186 -957
-508 -1859 -2518
-2943 -2293 1022
1684 2872 -657
-1948 804 2536
2458 1477 -1155
1710 1096 -1526
-2265 -2467 -2362
-2353 -1120 -1908
-810 2356 -1152
1451 -208 1819
-1096 2265 2640
305 -678 2625
-2391 577 -1876
2639 -2119 -564
-2797 2604 2890
-2144 -1474 -105
1984 2202 -1238
1798 812 -1521
-1463 -599 -727
2178 -1314 2868
1346 -1696 -2152
-2079 -2054 2787
724 -1426 257
1819 -1282 -2123
2904 198 -2010
1115 1709 1006
-2697 998 -1446
-2237 -101 1797
384 1222 -1902
-551 1282 1637
539 -218 -1836
-1894 -2803 2727
-1547 2861 2784
-2089 -873 1647
2596 1097 -21
-92 -2511 2497
-1959 -2622 -1038
2334 -1427 1763
2864 2619 735
2234 2928 213
30 633 2055
-2757 -1933 2132
-1386 60 2793
-2316 -1863 2276
-1890 1373 818
-2359 2906 8
2546 -2822 1541
51 -1752 1599
-1032 -1242 625
-868 -860 -2507
-898 -626 1608
-700 -1553 -1466
-2282 -2929 1703
-163 1694 1517
1881 1244 1602
-372 -2587 -2686
2005 -1780 -705
2983 -158 -2564
1609 1706 -2421
-1539 -1200 943
2134 -2820 2321
-2883 -1544 2520
502 -50 815
1987 2912 261
-1044 -2200 475
-1575 2929 2095
-635 568 -158
1312 210 -93
-1371 -1596 1229
1155 2592 2486
2216 375 -1383
2441 -893 -1561
1803 25 2481
-2477 2267 116
694 1068 -867
361 -517 718
-1823 -899 265
1331 -440 -1034
-2417 -1751 -1349
2192 676 2813
2830 307 1002
-2189 -742 -1872
-2995 -2084 1730
137 -949 738
1875 -317 -983
-20 -683 -29
-1301 434 -2493
85 -2788 2047
2206 -1923 -1285
-396 2720 -2345
2879 -2885 -652
689 2487 -200
-1457 1746 -759
1118 -775 2573
1191 -37 1418
73 -1475 -1971
-1499 -835 -2239
1037 1158 2874
2275 -31 -825
-1487 -455 359
-1436 1600 1796
-950 2998 -176
-1255 -2157 -2028
-362 -196 -667
1284 1674 824
-2990 2448 -246
855 2577 -2708
-1798 -2836 -2606
-2671 -2931 -1781
-2442 1651 418
59 2168 757
-955 -1236 -2643
869 633 -460
-1195 -2386 1253
1569 -655 2806
2206 1509 -2226
-743 282 -158
420 -651 -236
-2493 1647 836
1915 936 -2804
736 1918 1796
-1361 185 1648
1120 -921 2884
2437 -1009 -2674
634 1224 -2862
2740 1523 -1745
-2342 479 -2746
279 -1948 936
-1251 -2465 540
-2531 897 1381
1375 -1171 -208
2188 -1341 840
2630 -977 -2387
2439 -82 565
-885 -535 1691
-967 -172 1875
595 1753 -1179
2779 2185 1703
396 -2274 -1982
1480 142 -1681
-2293 79 -1610
-929 1102 2009
1977 1948 -1145
1072 1184 1529
-1068 -2132 651
1752 475 2765
-441 -562 631
2196 1058 -802
-1064 -1912 2591
104 2853 -1560
-1133 -1943 1747
-606 -747 2943
-460 -388 2838
-1806 -205 -1961
279 -1739 -2458
2649 -551 52
2304 2334 827
417 2702 -2147
1790 -2941 -666
-151 1924 -1243
835 1347 -990
-2106 -112 1788
1605 -1170 1427
2844 2659 2590
2139 2458 -1834
2087 314 -976
592 -741 -1512
1408 -530 895
1012 -555 -1170
693 -2318 -1111
-1255 2826 1927
-2419 2999 -1327
-2479 -456 430
-2098 -272 2834
-608 1171 -2732
-1924 2398 2722
2641 2688 896
1601 799 -1157
943 2911 -1793
-2101 2406 -35
28 541 -2044
-2698 -1104 -693
1567 -2889 2073
-1484 2613 1939
1235 -1158 1758
1184 -2820 -2172
-2417 -962 -2445
111 2453 2488
1393 2156 2423
-2362 -976 1067
1473 -190 -2923
-1309 -908 -1315
-1447 -277 2297
-970 1805 -155
1420 -1835 -1947
2927 186 -1905
-1472 1850 1650
-1894 -1331 -2701
1205 1466 1667
2191 -665 960
2811 -2819 -2531
-400 -2802 2538
-758 2759 2070
661 1726 -2086
-2642 -1387 -2369
-2054 952 -39
-1020 2864 -1805
-650 -2601 976
-833 -727 -1992
2679 2029 -2262
-1975 1682 1748
-92 1861 -1294
-2139 -1237 -2573
2831 -1954 -2361
2634 -183 -1132
-2187 -1932 -899
1363 -2715 -628
2826 -1814 -1593
-2161 2193 109
1319 -2909 1400
2402 1294 1989
-145 2531 2497
-352 1446 -1142
512 -2150 1294
2813 1656 2293
-2107 -2717 2945
-2799 -1913 922
-1007 1433 -2665
-933 2205 410
419 1768 1616
950 174 -217
-2350 -184 -591
-1105 1235 2057
2733 55 2231
-36 -2007 1067
-59 1827 -782
2052 -54 2617
-2055 869 1382
-2416 2308 -766
-2865 514 995
1235 -684 1562
462 1572 -1086
2248 1545 -2688
-1067 1940 -849
-1768 -514 337
1791 508 2276
1091 -1833 1373
1535 1083 2712
59 -1745 -2939
727 2557 1051
634 -2295 -2616
-1429 854 -1837
-1610 2518 35
-811 -2209 1052
443 604 -272
1037 1724 1368
2637 -1530 -2131
1865 2631 1768
2583 2715 1052
1747 -1082 -235
997 -371 -2574
-2828 -835 2325
1759 -1139 -1303
473 2012 2115
1635 1645 -1599
-633 -1414 2711
1499 2075 -45
-1128 2565 791
-558 1429 612
-1254 795 2521
2542 1650 -1028
-2762 -689 425
-385 131 1513
-1995 -592 1228
-1332 -1578 -1765
-1767 929 -2002
-2116 515 -1106
-1163 846 -1946
-149 67 154
1888 -451 324
-1308 1673 1341
-2909 -186 2489
2085 -1879 -2351
-926 -139 1491
2232 -2032 2764
1442 -890 2643
1009 787 -2080
2623 -1517 2424
-88 878 2799
-1967 -773 1457
-806 -1909 2920
-2510 -2573 -2504
1002 -953 -1030
1069 -2275 -725
34 -2509 -1665
-1016 2731 -2609
494 1181 -941
2780 1985 -37
2050 -2303 605
-115 1389 2438
-1358 -2717 502
2971 260 -2872
1582 1930 -417
-1567 -2276 -1456
2474 -1792 1723
-2337 619 1723
-55 606 -1165
-2579 -2163 2232
1508 2956 2715
-651 -2555 1300
-594 -1803 2101
-1038 -1938 -2851
1730 2921 -624
-1829 -1601 521
-1561 -2820 1444
-2303 -945 -1966
2047 1884 524
-422 -2913 1671
1847 -432 1574
-2460 -1514 2000
-2808 -2675 2910
2030 362 1552
1137 -177 858
1206 46 -2517
-2777 2811 -2104
-2623 -1607 -754
-1363 -837 2293
-393 912 1314
-139 1115 495
2362 1727 -1364
-2544 986 -2582
1989 -1374 -1989
-212 1158 239
2803 -2023 -122
-287 2804 643
-2183 -330 -318
-2174 -1219 2752
164 -1805 1603
-1792 -1033 1836
-2020 1610 871
2626 -265 1392
-497 -1647 -973
592 -2480 -2506
2189 -402 2005
2914 2706 1190
2320 667 -2178
-2796 -1606 442
84 -1602 -2042
449 1015 771
2621 -758 2718
2297 1907 1506
2545 518 -958
1173 91 2019
-1877 2335 2308
2583 1797 1472
-2050 1136 196
-1811 -1293 1391
-387 -1128 -2094
853 2937 -2846
-228 105 -2961
-2744 1925 55
118 -1340 -1451
1403 2036 592
-55 -1979 524
815 521 1519
-2446 -936 -1758
-1031 -1128 2862
2330 1283 2575
-340 -58 2718
-719 2121 -2925
2982 573 -1734
-1534 -1954 -1995
2769 593 2589
-1659 2463 1627
-659 -776 -2899
1890 2162 2989
1824 -2870 2779
925 -1254 -1802
-2793 2775 -1536
229 3 -1390
2774 57 107
2063 1949 1083
1394 970 2214
1734 156 -1938
-670 -1478 -1965
-941 -1464 -941
131 -2116 534
817 -2559 -16
-311 -1861 -2484
-2556 2290 2282
2045 -342 2515
1194 -131 2404
-684 1839 -731
-1586 598 1027
-1875 -248 1407
1877 1428 -2706
-969 955 -306
-2183 -1296 2435
-2307 -1405 2698
-2436 1662 2433
-2241 256 -2460
2851 -1192 -339
-1178 -2477 2211
-2862 -2885 -2223
-1665 -421 1416
-1004 2659 1400
1753 2172 -2483
992 1439 1436
2483 -2780 2119
-1727 -2983 1790
278 -1296 1897
1677 1895 -2402
-1792 388 102
31 2842 -819
-250 -1917 462
-150 895 1811
-747 -756 -1206
2793 1919 1011
665 971 1133
78 -2258 -1221
-2360 771 -138
-1418 40 1941
833 -1469 -2637
-1312 -2614 2316
2480 777 2046
-832 1988 83
2154 -1041 176
-2709 673 -1065
348 2023 1365
1203 2139 -2974
243 -2410 2874
-59 -1778 2530
786 -2840 -2179
-1302 -2226 728
573 356 1274
1284 1450 285
892 -672 124
936 1614 -2531
-890 -630 2704
737 2357 -1173
167 2013 -2131
655 -373 234
-322 1936 -1320
1666 -2210 938
2555 2326 -2014
704 630 925
2796 2697 1547
49 2468 1539
-2410 1825 -756
-304 -2927 -1517
921 1241 -2302
1198 1684 241
2610 -2503 -476
2738 -568 47
1602 237 -1403
1564 -331 291
864 -835 274
2786 -2114 1718
-2613 -2345 238
1469 896 971
153 1387 -1234
1174 1639 1948
1375 -421 -2294
409 -2589 -187
-1785 -1957 -2225
529 153 -190
-341 -1453 -825
2636 49 1171
947 1442 -1476
-2707 2042 -1606
723 1763 -71
1555 -15 -1335
2135 -1411 -915
2189 2689 -2197
1293 -2447 -1618
-176 2943 -2116
1776 -2540 -1119
-2405 2706 -121
-2162 -2185 359
2157 725 -2716
1927 1162 1770
-2359 2285 -730
2585 2981 -2899
1991 -1747 -1263
-871 2613 -2456
-1962 -1377 -2875
-933 -217 -2201
-1210 -2767 -18
-949 2543 1499
-2302 -2889 96
541 -1436 -413
-161 -2361 1281
-53 -1868 -1358
2180 -2281 -229
-2870 -716 2150
-1067 1905 857
658 -2909 -1953
1809 2245 -1322
-812 -2742 -1806
-2318 -5 -106
-706 -202 -319
894 604 1121
1687 -1460 1872
-621 1023 -644
2322 225 -1836
754 -1935 -723
2842 -828 2641
2072 1502 166
-1740 -1214 -962
2073 -76 -806
-606 397 -1298
-1833 -619 -1943
-2859 -552 -729
161 -437 1805
819 1240 1276
1152 -34 2582
-216 -1630 634
-770 -827 1020
1866 -2427 -1007
1703 -2383 1193
-1810 -1684 2989
1749 2048 701
1591 2025 -604
2407 1282 816
1640 -1580 -1815
-1556 2295 -336
1988 -1373 -1963
-1887 -196 2868
904 2611 -1491
-2193 -2546 -604
-2569 2901 2977
-2533 1596 2002
365 -1489 -1060
2007 -2988 470
-2534 -2494 630
-556 2135 2131
-326 2776 -2586
-2411 638 464
-953 852 -2203
2098 633 -163
-985 2324 487
-2720 -1209 2667
1656 -2771 1803
-2060 2053 2726
-1508 -2489 1427
-1877 -1943 -2102
2070 797 616
-8 1624 1526
2469 1935 1826
-1166 -2677 1774
1909 -779 2610
1031 -1316 -2591
769 2728 -211
235 638 -2449
-843 308 -1295
85 -1852 -1781
-972 2450 2313
1922 -992 -2944
-482 2328 -2152
99 -2753 -2647
-205 216 -1804
-721 -853 -2608
-2384 -308 2865
1882 228 1178
-1996 -160 -1840
788 1799 -282
1094 335 274
-541 2065 -2430
-1856 2237 -390
1838 950 2363
-849 859 386
1994 -2353 -951
27 -1381 -1765
939 -2447 426
2429 -300 2941
1379 1078 887
-1804 -2222 452
-757 -1346 -325
-1523 -2485 41
120 -799 1476
-2443 515 -502
113 -1803 -873
190 2334 -299
-2124 -814 -703
2649 -2815 1192
2689 1710 -2275
-134 -1328 -724
82 -2827 -1181
-1875 971 -91
-1749 -166 -1263
2884 -975 1277
-2365 -176 -570
-574 -516 2429
458 1547 -1554
-1903 882 2348
827 1249 300
-2574 721 -1507
-1146 -1661 -1392
-2666 1398 -1254
-1664 -141 -99
166 1491 -258
-846 183 568
-2974 -589 46
-209 -2968 -1221
1745 2916 -1448
-2287 -2224 2814
2280 59 577
-749 -2219 879
-1991 -1858 1913
-2621 -1978 -2310
-485 -1195 -846
1076 -1433 -1461
-2418 -2328 -2281
1369 2196 1063
-703 -1642 370
1433 -1174 1301
1535 -88 -609
-364 334 551
2988 -2314 1851
873 1646 1469
-560 -1182 1235
1073 1002 -1489
-1847 2574 2923
-546 -1304 -2566
805 1683 -1834
2493 752 -1290
-1679 -234 1073
2851 -1537 2224
237 1665 -2607
2867 86 712
1575 2590 -1852
930 -1503 312
319 1035 799
1088 -275 -2168
2710 1480 450
410 2376 823
-66 997 -1936
1865 857 275
2704 -2609 435
-2366 2278 763
-1663 2498 2421
-2809 -97 1278
-879 186 -835
1261 2018 -1923
-839 431 -2896
2176 2869 -1997
-1970 -2884 -1476
-1783 1006 1443
2076 2379 -856
-1435 1756 1854
-2710 2951 -117
-2900 -2713 -417
1176 -2110 48
2899 2093 -678
1498 1917 -1619
-217 1251 -1093
-1245 -2841 -1418
-337 -2728 -142
1286 2101 1431
2766 1425 -1220
2644 1483 1433
15 708 2457
-2568 1570 -176
-1604 -1670 2160
907 1771 1838
1200 2592 1179
1248 462 69
2343 2495 1644
-1524 -325 1334
-819 1050 -1992
1509 -1894 -195
-993 -193 2094
2645 -2886 2235
-2933 1259 1419
208 -1759 -2632
-2343 141 2452
-407 1558 -1790
449 1585 -2012
-21 1751 -100
-92 -516 -51
1975 -1743 -274
2953 1092 -2610
1747 -1306 -2174
684 395 -127
-630 -1989 -827
-2817 -701 -227
-167 1039 -569
-429 -1763 441
2187 -810 2559
-1453 703 -2827
674 -2484 -2092
1325 554 -1618
2535 1061 -1370
-1923 -1360 2221
1220 753 -186
-2399 2772 -1814
2730 2876 -1818
2905 -474 1893
-1797 2177 -2180
2635 327 2343
2128 390 2569
729 404 -1010
1644 1446 -2811
-520 -704 1530
-888 2174 -2162
1071 913 1937
2790 -1170 -311
-1610 -807 543
1847 1010 1096
-2497 -1724 -2809
-1020 -2715 551
2803 -1507 746
-741 2461 -866
1534 1564 1395
-217 -734 2221
-2131 180 -2123
1804 -39 1755
2541 2483 -361
-1452 -2769 2455
2883 -832 -841
487 2390 86
2918 -1936 2962
2833 -409 -2387
-2643 -2406 1971
1050 -2289 2488
-773 -1454 1360
-2894 2865 -495
2315 2869 1727
2727 -1419 436
2561 -246 -642
602 -2260 2553
-2909 1811 1674
-2500 218 851
2132 568 357
-2900 1306 -931
353 -2405 -2437
-1142 1127 1142
2368 1879 1863
-211 2048 2061
-1750 460 817
1158 -263 -924
127 -837 -2835
1286 956 -2498
-1145 -2814 1345
-2627 -127 -2554
295 -1517 2952
-1597 -411 -2746
2118 -1723 322
1997 -116 -133
1756 2793 -1247
451 757 2672
2862 -2241 1312
2912 1238 -2129
-2334 1154 -2937
482 -1165 -767
-346 -501 -1031
817 -2886 846
302 2204 -2313
-1738 -1396 -631
2996 -655 -206
-851 1941 651
-894 1011 2417
-185 -2432 -884
2517 2408 475
-2614 981 -337
1910 2603 486
-2104 -1702 -2901
-572 -1724 2096
-2338 -1913 -1135
-2423 570 -83
323 1492 -2883
-1786 -1743 980
1954 -2712 2000
-936 -943 -2950
-1999 -1911 1978
1287 -1734 -2870
-2754 -1659 -1643
-2083 -2874 -2974
705 474 -383
-1240 -1441 -1231
-1743 -2971 -1558
-2800 -93 853
517 -24 2069
-1515 -659 -1174
2241 525 2721
1139 415 1471
2774 -322 1913
-2766 1751 -2371
-763 -2488 1016
-2666 2141 446
-2184 2879 525
1697 1457 -1800
-1693 -2301 1748
2406 1158 97
-1660 -2706 -2116
2903 850 2314
-441 1683 -2768
583 2431 -1296
598 -2226 297
-2923 -42 2518
-290 -2618 -1133
-2408 1584 2335
205 -212 1778
-1622 -1966 2375
1730 -914 2549
-1736 -486 -2393
-96 -1652 -2437
258 -2871 2710
-369 -2180 -1821
1155 2865 1308
350 2723 -2075
-103 -1592 -1214
1083 2152 -2936
425 2303 478
-1622 1714 -2478
2623 -477 2072
-2684 -1672 2328
-386 -544 -64
-203 -37 788
1177 -1705 367
-1883 1517 -2210
572 2807 733
-549 -2881 -1365
-546 1432 -2156
-1967 -367 212
-296 -1442 -2481
116 1024 1404
1862 205 2938
-2641 -1131 -1721
1298 602 -2838
139 -44 324
-2174 2289 2977
-2037 -1412 -2609
2605 -1263 -231
-2474 -1288 -688
873 292 184
838 -2075 -1627
-2619 -888 2310
406 1761 -2109
-253 -1533 1654
681 -1121 -129
-2388 2430 -2083
-531 1650 1397
-1179 -2031 -2473
349 1131 2368
2516 2133 2193
-2544 1733 -2730
565 2821 -1308
-727 1655 1098
1590 -488 1011
2451 1080 2295
1593 -1446 -2540
-1349 829 1917
173 -2319 804
1972 -1569 -1799
2510 392 277
2371 -237 -2903
-1107 1170 -321
2274 -902 -666
1897 -370 2980
2000 2770 471
-1275 126 2791
-49 -2796 -1505
-597 -2452 -1451
712 -376 1041
1726 -2934 -54
-1309 -2108 -2106
1311 -2834 1555
570 1848 -2551
-2372 1981 1151
-2963 -943 2632
2572 1950 1622
-1791 1561 -1620
2484 -1683 -1647
-1 -2568 -2164
-1755 -1858 -1879
2573 -2738 -1865
-1909 -908 -2337
-2016 2422 -430
-470 2550 -1964
1530 1425 2999
-2467 6 2506
769 1129 -1920
1040 -730 621
2057 -2514 1658
-841 2546 253
-1112 102 -244
-2649 -1033 1614
-2955 -816 -2766
-740 -216 -576
2262 -14 -2699
-2909 -866 1884
-863 -35 -1248
1572 -2353 -672
-2835 -2197 1803
-2533 1653 -2652
-1564 -31 -1491
242 1520 -2128
-1380 -1220 -2996
-2185 -2381 50
-125 -335 -2
2928 -1259 -451
-558 -1863 -2920
2390 2913 1089
-161 -292 313
2845 -1419 2391
-2521 -557 1652
2755 2861 468
-513 7 -2518
-2156 -1507 165
-1755 2800 -255
-1065 2859 1331
865 2115 -387
-8 1517 -1326
572 -2659 -1977
-2109 1472 -755
1400 1560 -1634
1832 -1953 1904
-1057 1484 -608
2135 -747 -775
-356 696 -1897
-164 -191 2627
-522 -2278 1957
2654 235 -1540
-2507 -33 2463
-36 552 564
